time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-14T18:09:35.040Z,44.6681667,-112.1305,2.21,1.35,ml,17,109,0.203,0.21,mb,mb80343784,2019-05-14T19:43:56.160Z,"36km E of Lima, Montana",earthquake,0.45,1.6,0.187,10,reviewed,mb,mb
2019-05-14T18:08:51.253Z,37.2249,-114.9797,5,2.4,ml,19,77.78,0.191,0.1157,nn,nn00684768,2019-05-14T18:45:36.382Z,"22km SE of Alamo, Nevada",earthquake,,5.2,0.32,12,reviewed,nn,nn
2019-05-14T18:04:38.020Z,37.2457,-115.0292,0.4,1.3,ml,12,100.05,0.124,0.34,nn,nn00684766,2019-05-14T18:10:12.368Z,"17km SE of Alamo, Nevada",earthquake,,19.3,,,automatic,nn,nn
2019-05-14T17:49:51.660Z,36.1201667,-117.6673333,2.77,0.94,ml,20,90,0.07219,0.12,ci,ci38593712,2019-05-14T21:43:37.900Z,"27km ENE of Coso Junction, CA",earthquake,0.19,0.8,0.228,8,reviewed,ci,ci
2019-05-14T17:46:23.230Z,37.2473,-115.0395,1.3,1,ml,7,202.92,0.114,0.3,nn,nn00684765,2019-05-14T18:00:50.387Z,"17km SE of Alamo, Nevada",earthquake,,20.3,,,automatic,nn,nn
2019-05-14T17:40:12.110Z,19.4051667,-155.2816667,0.35,2.04,ml,24,37,0.01234,0.08,hv,hv70952341,2019-05-14T19:24:21.760Z,"5km WSW of Volcano, Hawaii",earthquake,0.12,0.14,0.217,13,reviewed,hv,hv
2019-05-14T17:39:55.169Z,61.6656,-149.8936,80.5,1.3,ml,,,,0.96,ak,ak01965wdcv7,2019-05-14T17:43:21.945Z,"5km NW of Houston, Alaska",earthquake,,1,,,automatic,ak,ak
2019-05-14T17:29:35.850Z,38.8251648,-122.8541641,1.72,1.39,md,21,83,0.003182,0.03,nc,nc73181570,2019-05-14T20:33:04.777Z,"10km WNW of The Geysers, CA",earthquake,0.21,0.39,0.1,5,automatic,nc,nc
2019-05-14T17:29:14.650Z,18.8025,-67.2788,12,2.49,md,15,203,0.3746,0.27,pr,pr2019134007,2019-05-14T21:25:09.496Z,"39km NNW of San Antonio, Puerto Rico",earthquake,1.4,2.49,0.34,13,reviewed,pr,pr
2019-05-14T17:28:14.470Z,38.8243332,-122.8546677,1.77,1.98,md,31,64,0.00364,0.03,nc,nc73181565,2019-05-14T20:08:02.639Z,"10km WNW of The Geysers, CA",earthquake,0.18,0.3,0.19,8,automatic,nc,nc
